Hour of Day,Sessions
2011121613,3
2011121614,3
2011121615,2
2011121620,2
2011121718,2
2011121907,2
2011121908,2
2011121910,3
2011121911,5
2011121912,5
2011121913,5
2011121914,2
2011121919,2
2011121920,2
2011122007,2
2011122008,2
2011122009,2
2011122010,2
2011122011,3
2011122012,3
2011122013,2
2011122014,2
2011122017,3
2011122021,3
2011122022,2
2011122105,2
2011122107,2
2011122108,2
2011122110,2
2011122111,3
2011122114,3
2011122117,2
2011122119,2
2011122120,2
2011122122,3
2011122206,2
2011122207,3
2011122210,2
2011122211,2
2011122212,2
2011122213,2
2011122214,2
2011122215,5
2011122217,2
2011122307,2
2011122308,2
2011122309,2
2011122310,2
2011122311,2
2011122314,2
2011122321,2
2011122422,5
2011122423,2
2011122511,2
2011122512,0
2011122516,2
2011122518,2
2011122522,3
2011122523,0
2011122601,2
2011122610,2
2011122615,2
2011122616,2
2011122619,2
2011122704,2
2011122708,2
2011122709,3
2011122710,3
2011122711,2
2011122720,3
2011122723,3
2011122808,2
2011122811,2
2011122814,2
2011122815,2
2011122818,2
2011122823,2
2011122904,2
2011122908,2
2011122909,2
2011122911,2
2011122913,2
2011122914,2
2011122915,0
2011122916,3
2011122918,2
2011123007,2
2011123008,2
2011123010,3
2011123012,2
2011123016,2
2011123022,2
2011123023,2
2011123108,2
2011123122,2
2012010122,2
2012010123,0
2012010223,2
2012010307,2
2012010308,3
2012010309,2
2012010310,0
2012010313,2
2012010314,2
2012010315,2
2012010316,2
2012010400,2
2012010407,2
2012010409,2
2012010413,2
2012010414,2
2012010415,3
2012010416,0
2012010419,2
2012010507,2
2012010509,2
2012010511,2
2012010515,2
2012010605,2
2012010608,2
2012010610,5
2012010611,3
2012010613,2
2012010723,2
2012010810,2
2012010908,2
2012010910,3
2012010911,2
2012010913,2
2012010914,2
2012010915,2
2012010916,2
2012011008,3
2012011012,2
2012011016,2
2012011107,2
2012011108,2
2012011109,2
2012011111,2
2012011207,2
2012011208,2
2012011209,3
2012011210,2
2012011220,2
2012011300,2
2012011307,3
2012011311,3
2012011313,2
2012011314,2
2012011316,3
2012011511,2
2012011604,2
2012011611,2
2012011617,2
2012011621,2
2012011704,2
2012011707,2
2012011708,2
2012011711,3
2012011712,2
2012011713,0
2012011714,2
2012011715,3
2012011716,2
2012011717,2
2012011718,2
2012011721,3
2012011722,2
2012011800,2
2012011806,3
2012011807,3
2012011808,3
2012011809,9
2012011810,16
2012011811,12
2012011812,14
2012011813,9
2012011814,9
2012011815,2
2012011816,3
2012011817,2
2012011818,2
2012011819,2
2012011820,3
2012011823,2
2012011905,5
2012011906,5
2012011907,7
2012011908,3
2012011909,9
2012011910,21
2012011911,55
2012011912,31
2012011913,71
2012011914,48
2012011915,54
2012011916,40
2012011917,36
2012011918,16
2012011919,14
2012011920,7
2012011921,7
2012011922,3
2012011923,3
2012012000,5
2012012001,7
2012012006,3
2012012007,3
2012012008,35
2012012009,28
2012012010,19
2012012011,14
2012012012,21
2012012013,7
2012012014,12
2012012015,24
2012012016,17
2012012017,10
2012012018,12
2012012019,5
2012012020,7
2012012021,7
2012012022,2
2012012100,2
2012012105,2
2012012106,2
2012012107,2
2012012108,3
2012012109,7
2012012110,10
2012012111,2
2012012112,3
2012012113,5
2012012114,9
2012012116,5
2012012118,9
2012012119,2
2012012121,3
2012012123,3
2012012200,2
2012012205,2
2012012207,3
2012012209,9
2012012210,7
2012012211,2
2012012212,7
2012012213,9
2012012214,12
2012012215,10
2012012216,7
2012012218,5
2012012220,3
2012012221,5
2012012222,3
2012012223,5
2012012300,2
2012012303,2
2012012305,2
2012012306,2
2012012307,12
2012012308,9
2012012309,10
2012012310,5
2012012311,9
2012012312,9
2012012313,9
2012012314,10
2012012315,7
2012012316,9
2012012317,12
2012012318,5
2012012319,2
2012012320,5
2012012321,3
2012012322,2
2012012405,2
2012012406,3
2012012407,3
2012012408,3
2012012409,10
2012012410,3
2012012411,12
2012012412,5
2012012413,5
2012012414,3
2012012415,5
2012012416,2
2012012417,3
2012012418,3
2012012421,5
2012012423,2
2012012508,3
2012012509,7
2012012510,2
2012012511,3
2012012512,5
2012012513,2
2012012514,9
2012012515,2
2012012516,2
2012012517,3
2012012518,2
2012012522,2
2012012600,3
2012012606,3
2012012607,7
2012012608,3
2012012610,5
2012012611,3
2012012612,2
2012012613,3
2012012614,5
2012012615,5
2012012616,0
2012012617,3
2012012619,3
2012012620,2
2012012706,2
2012012707,2
2012012708,3
2012012709,2
2012012710,5
2012012711,2
2012012713,3
2012012714,3
2012012715,3
2012012716,5
2012012717,2
2012012720,2
2012012722,2
2012012806,2
2012012809,2
2012012810,2
2012012811,2
2012012812,0
2012012813,2
2012012815,2
2012012817,2
2012012818,3
2012012910,3
2012012912,3
2012012913,2
2012012917,3
2012012918,2
2012012921,2
2012012922,0
2012013007,5
2012013008,5
2012013009,3
2012013010,2
2012013011,3
2012013012,3
2012013013,3
2012013015,2
2012013016,5
2012013017,2
2012013018,3
2012013019,2
2012013106,2
2012013108,3
2012013109,3
2012013110,3
2012013111,7
2012013114,7
2012013115,2
2012013116,2
2012013118,2
2012013121,3
2012013122,0
2012020105,2
2012020106,3
2012020107,2
2012020108,3
2012020109,10
2012020110,3
2012020111,7
2012020112,10
2012020113,2
2012020114,12
2012020115,9
2012020116,3
2012020117,2
2012020118,5
2012020119,3
2012020120,2
2012020121,2
2012020200,2
2012020208,9
2012020209,5
2012020210,7
2012020211,2
2012020212,2
2012020214,2
2012020217,5
2012020219,2
2012020221,2
2012020222,2
2012020308,2
2012020309,2
2012020310,2
2012020313,7
2012020314,5
2012020315,10
2012020316,2
2012020317,2
2012020319,2
2012020320,2
2012020321,2
2012020322,2
2012020400,2
2012020401,2
2012020406,2
2012020409,2
2012020413,3
2012020414,0
2012020415,2
2012020417,3
2012020506,2
2012020507,2
2012020511,2
2012020514,2
2012020516,2
2012020517,2
2012020518,2
2012020523,2
2012020607,2
2012020608,9
2012020609,9
2012020610,7
2012020611,5
2012020612,3
2012020613,3
2012020614,5
2012020615,3
2012020616,2
2012020617,0
2012020619,2
2012020700,2
2012020705,2
2012020707,3
2012020708,5
2012020709,12
2012020710,19
2012020711,12
2012020712,9
2012020713,3
2012020714,9
2012020715,3
2012020716,5
2012020717,5
2012020718,5
2012020720,2
2012020803,2
2012020804,2
2012020805,2
2012020807,5
2012020808,5
2012020809,2
2012020810,2
2012020811,2
2012020812,3
2012020813,2
2012020814,3
2012020815,5
2012020816,2
2012020819,2
2012020907,7
2012020908,5
2012020910,5
2012020912,2
2012020913,3
2012020914,5
2012020918,2
2012021006,2
2012021007,2
2012021008,2
2012021010,3
2012021012,3
2012021013,2
2012021014,5
2012021015,3
2012021016,3
2012021018,2
2012021022,2
2012021109,2
2012021110,3
2012021111,2
2012021115,3
2012021118,2
2012021119,3
2012021122,2
2012021123,2
2012021209,2
2012021218,2
2012021222,3
2012021223,2
2012021300,2
2012021301,2
2012021302,2
2012021307,5
2012021308,3
2012021309,3
2012021310,5
2012021311,7
2012021312,2
2012021313,3
2012021314,2
2012021315,2
2012021317,3
2012021319,2
2012021320,3
2012021321,3
2012021407,3
2012021408,3
2012021409,7
2012021411,3
2012021412,2
2012021413,2
2012021415,2
2012021418,2
2012021419,2
2012021503,2
2012021504,2
2012021505,2
2012021507,3
2012021508,5
2012021509,5
2012021510,2
2012021512,3
2012021513,2
2012021514,2
2012021515,2
2012021516,2
2012021517,2
2012021520,2
2012021522,2
2012021523,2
2012021607,3
2012021608,5
2012021609,2
2012021610,2
2012021611,3
2012021612,3
2012021613,2
2012021614,3
2012021615,5
2012021616,3
2012021620,2
2012021622,2
2012021708,5
2012021711,2
2012021712,2
2012021713,2
2012021714,3
2012021715,0
2012021716,2
2012021717,2
2012021718,2
2012021720,2
2012021721,2
2012021723,2
2012021806,2
2012021807,2
2012021808,2
2012021809,5
2012021810,2
2012021817,2
2012021818,2
2012021821,2
2012021918,2
2012021922,2
2012022005,2
2012022008,3
2012022009,2
2012022010,5
2012022011,2
2012022012,2
2012022013,0
2012022015,2
2012022016,2
2012022019,2
2012022020,2
2012022022,2
2012022107,3
2012022108,3
2012022109,3
2012022110,2
2012022111,2
2012022112,2
2012022113,3
2012022115,0
2012022116,2
2012022121,3
2012022207,2
2012022208,2
2012022209,2
2012022210,2
2012022211,2
2012022212,3
2012022213,2
2012022214,3
2012022215,2
2012022216,2
2012022218,2
2012022307,3
2012022308,2
2012022309,2
2012022310,3
2012022312,2
2012022313,3
2012022314,2
2012022315,2
2012022316,5
2012022317,7
2012022320,2
2012022407,3
2012022408,2
2012022409,3
2012022410,2
2012022413,2
2012022414,2
2012022416,3
2012022418,2
2012022506,2
2012022510,2
2012022511,2
2012022512,2
2012022514,2
2012022608,2
2012022610,3
2012022612,2
2012022613,2
2012022614,2
2012022616,2
2012022621,3
2012022622,2
2012022623,2
2012022707,3
2012022708,5
2012022709,2
2012022710,2
2012022711,3
2012022712,3
2012022713,2
2012022714,5
2012022715,7
2012022716,2
2012022717,2
2012022718,2
2012022719,2
2012022720,2
2012022721,2
2012022807,3
2012022808,2
2012022809,3
2012022810,7
2012022812,5
2012022813,3
2012022814,2
2012022815,5
2012022816,7
2012022818,10
2012022819,3
2012022820,5
2012022821,7
2012022822,2
2012022823,5
2012022900,5
2012022903,2
2012022905,3
2012022907,10
2012022908,21
2012022909,17
2012022910,9
2012022911,9
2012022912,9
2012022913,10
2012022914,3
2012022915,14
2012022916,7
2012022917,2
2012022918,5
2012022919,2
2012022920,2
2012022921,3
2012022922,3
2012022923,3
2012030100,2
2012030101,5
2012030102,0
2012030103,2
2012030104,2
2012030105,2
2012030106,3
2012030107,3
2012030108,7
2012030109,2
2012030110,5
2012030111,5
2012030112,7
2012030113,7
2012030114,2
2012030115,9
2012030116,2
2012030117,5
2012030118,0
2012030119,2
2012030123,3
2012030203,2
2012030204,2
2012030207,5
2012030208,7
2012030211,5
2012030212,3
2012030214,2
2012030216,2
2012030217,2
2012030218,9
2012030219,0
2012030221,2
2012030222,3
2012030300,2
2012030310,2
2012030313,2
2012030314,2
2012030321,2
2012030323,2
2012030420,2
2012030421,0
2012030507,3
2012030508,3
2012030509,7
2012030510,2
2012030511,2
2012030513,2
2012030514,3
2012030515,3
2012030516,2
2012030517,0
2012030520,2
2012030607,5
2012030608,9
2012030609,0
2012030611,2
2012030612,3
2012030613,2
2012030614,5
2012030615,3
2012030616,0
2012030617,3
2012030618,2
2012030619,2
2012030620,2
2012030621,3
2012030707,2
2012030708,7
2012030709,3
2012030710,10
2012030711,5
2012030715,2
2012030716,2
2012030717,2
2012030721,2
2012030806,2
2012030807,2
2012030808,2
2012030809,2
2012030810,2
2012030811,3
2012030813,2
2012030814,2
2012030816,2
2012030817,2
2012030818,2
2012030819,3
2012030822,3
2012030906,2
2012030907,5
2012030908,2
2012030909,0
2012030911,2
2012030912,2
2012030913,2
2012030914,7
2012030916,2
2012030917,2
2012030920,2
2012030922,2
2012031006,2
2012031009,3
2012031010,2
2012031013,2
2012031014,2
2012031018,2
2012031020,2
2012031108,2
2012031109,3
2012031110,3
2012031111,5
2012031113,2
2012031116,2
2012031119,3
2012031121,3
2012031122,2
2012031123,2
2012031200,3
2012031203,3
2012031207,3
2012031208,5
2012031209,9
2012031210,7
2012031211,0
2012031212,3
2012031213,2
2012031214,5
2012031216,2
2012031217,3
2012031218,2
2012031219,2
2012031220,3
2012031302,2
2012031305,2
2012031306,3
2012031307,7
2012031308,5
2012031309,14
2012031310,12
2012031311,3
2012031312,3
2012031313,14
2012031314,9
2012031315,7
2012031316,10
2012031317,5
2012031319,2
2012031320,2
2012031321,2
2012031322,5
2012031400,3
2012031401,2
2012031402,2
2012031406,3
2012031407,3
2012031408,3
2012031409,10
2012031410,10
2012031411,7
2012031412,5
2012031413,2
2012031414,2
2012031415,7
2012031416,3
2012031417,3
2012031418,3
2012031420,2
2012031423,2
2012031504,2
2012031507,5
2012031508,2
2012031509,10
2012031510,2
2012031511,7
2012031512,2
2012031513,7
2012031514,5
2012031515,5
2012031516,9
2012031517,2
2012031518,2
2012031522,5
2012031603,3
2012031606,2
2012031607,2
2012031608,2
2012031609,3
2012031610,5
2012031611,12
2012031612,2
2012031613,3
2012031614,14
2012031615,3
2012031616,7
2012031617,9
2012031618,3
2012031619,5
2012031620,3
2012031621,3
2012031622,7
2012031623,2
2012031700,2
2012031708,5
2012031709,5
2012031710,2
2012031711,2
2012031712,0
2012031713,2
2012031714,3
2012031715,2
2012031717,3
2012031718,0
2012031719,2
2012031720,3
2012031722,2
2012031801,2
2012031806,2
2012031807,2
2012031808,5
2012031809,2
2012031810,2
2012031811,7
2012031813,5
2012031814,3
2012031815,3
2012031816,2
2012031817,2
2012031818,2
2012031819,3
2012031820,3
2012031821,5
2012031822,2
2012031900,2
2012031902,2
2012031904,3
2012031906,3
2012031907,3
2012031908,2
2012031911,7
2012031912,5
2012031913,3
2012031914,10
2012031916,2
2012031919,2
2012031920,2
2012031921,2
2012031922,3
2012032002,2
2012032006,2
2012032007,3
2012032008,7
2012032009,2
2012032010,7
2012032011,5
2012032012,5
2012032013,2
2012032014,2
2012032015,0
2012032016,2
2012032017,3
2012032018,2
2012032107,2
2012032108,2
2012032109,3
2012032110,5
2012032111,2
2012032112,2
2012032113,5
2012032114,3
2012032115,5
2012032116,2
2012032117,5
2012032119,2
2012032120,2
2012032123,2
2012032203,2
2012032206,2
2012032207,3
2012032208,2
2012032209,2
2012032210,5
2012032211,3
2012032212,2
2012032213,2
2012032214,7
2012032216,9
2012032217,3
2012032218,3
2012032219,2
2012032221,2
2012032223,5
2012032307,5
2012032308,3
2012032309,5
2012032310,5
2012032311,7
2012032312,5
2012032313,3
2012032314,2
2012032315,2
2012032316,5
2012032320,2
2012032407,3
2012032408,2
2012032409,5
2012032410,5
2012032411,2
2012032412,2
2012032414,2
2012032415,2
2012032418,3
2012032420,2
2012032421,2
2012032506,2
2012032507,3
2012032508,2
2012032509,2
2012032511,2
2012032512,3
2012032513,3
2012032514,5
2012032515,3
2012032517,2
2012032518,2
2012032519,3
2012032520,2
2012032523,2
2012032603,2
2012032604,2
2012032606,2
2012032608,7
2012032609,3
2012032610,7
2012032611,0
2012032612,5
2012032613,3
2012032614,3
2012032616,3
2012032617,9
2012032618,2
2012032619,2
2012032620,3
2012032621,0
2012032623,3
2012032705,2
2012032707,3
2012032708,7
2012032709,9
2012032710,2
2012032711,9
2012032712,9
2012032713,10
2012032714,10
2012032715,7
2012032716,3
2012032717,9
2012032718,3
2012032719,5
2012032720,2
2012032721,3
2012032722,2
2012032723,3
2012032800,2
2012032801,2
2012032805,2
2012032807,5
2012032808,5
2012032809,9
2012032810,5
2012032811,3
2012032812,5
2012032813,7
2012032814,3
2012032815,2
2012032816,2
2012032817,2
2012032818,2
2012032820,2
2012032908,9
2012032909,3
2012032910,3
2012032911,2
2012032912,3
2012032914,9
2012032915,5
2012032916,2
2012032917,5
2012032918,2
2012032919,2
2012032920,3
2012032921,2
2012032923,2
2012033007,2
2012033008,2
2012033009,3
2012033010,5
2012033011,5
2012033012,5
2012033013,2
2012033015,5
2012033016,3
2012033020,3
2012033021,0
2012033022,2
2012033107,2
2012033108,2
2012033109,5
2012033110,5
2012033111,3
2012033113,10
2012033114,3
2012033115,2
2012033116,5
2012033117,2
2012033118,2
2012033119,3
2012033120,3
2012033121,2
2012033122,2
2012033123,2
2012040106,2
2012040109,3
2012040111,5
2012040112,2
2012040113,2
2012040116,2
2012040121,2
2012040202,2
2012040207,3
2012040208,2
2012040209,2
2012040210,2
2012040211,2
2012040212,2
2012040213,3
2012040215,5
2012040216,3
2012040217,2
2012040218,2
2012040222,2
2012040303,2
2012040307,3
2012040308,7
2012040309,2
2012040310,2
2012040311,2
2012040312,3
2012040313,2
2012040315,2
2012040316,2
2012040317,2
2012040407,3
2012040408,3
2012040409,3
2012040410,2
2012040411,2
2012040412,3
2012040413,7
2012040415,2
2012040416,2
2012040417,2
2012040418,7
2012040420,2
2012040421,2
2012040423,3
2012040500,2
2012040507,2
2012040508,2
2012040509,3
2012040510,2
2012040511,2
2012040512,2
2012040513,2
2012040514,3
2012040515,9
2012040521,2
2012040523,2
2012040607,2
2012040609,3
2012040612,2
2012040613,3
2012040614,3
2012040615,2
2012040617,2
2012040620,2
2012040623,2
2012040711,2
2012040713,2
2012040717,2
2012040721,2
2012040722,2
2012040811,2
2012040813,2
2012040903,2
2012040907,3
2012040910,3
2012040911,3
2012040913,2
2012041008,9
2012041009,2
2012041010,5
2012041011,0
2012041012,2
2012041014,2
2012041015,5
2012041016,2
2012041017,2
2012041101,2
2012041107,2
2012041108,5
2012041110,2
2012041111,2
2012041112,5
2012041113,2
2012041114,2
2012041115,5
2012041116,5
2012041117,2
2012041118,2
2012041121,5
2012041204,2
2012041206,2
2012041207,5
2012041208,12
2012041209,9
2012041210,2
2012041211,2
2012041212,9
2012041213,2
2012041215,5
2012041216,5
2012041217,10
2012041218,2
2012041219,2
2012041221,2
2012041222,2
2012041223,2
2012041300,3
2012041301,2
2012041304,2
2012041305,2
2012041306,2
2012041307,2
2012041308,3
2012041309,7
2012041310,14
2012041311,10
2012041312,3
2012041313,2
2012041314,2
2012041316,2
2012041317,3
2012041318,3
2012041319,2
2012041320,2
2012041408,2
2012041409,2
2012041410,5
2012041411,2
2012041412,2
2012041413,2
2012041414,2
2012041415,2
2012041420,2
2012041508,2
2012041510,2
2012041511,2
2012041520,2
2012041607,3
2012041608,3
2012041609,2
2012041610,3
2012041612,2
2012041613,2
2012041614,2
2012041617,2
2012041619,2
2012041620,2
2012041622,2
2012041704,2
2012041707,3
2012041708,3
2012041709,3
2012041711,2
2012041713,2
2012041715,2
2012041716,2
2012041718,2
2012041722,2
2012041808,7
2012041810,2
2012041811,2
2012041813,3
2012041814,3
2012041816,3
2012041817,0
2012041818,2
2012041906,2
2012041908,2
2012041909,2
2012041910,2
2012041916,3
2012041917,3
2012042007,2
2012042009,3
2012042010,3
2012042011,5
2012042013,2
2012042015,2
2012042016,2
2012042017,7
2012042023,2
2012042107,2
2012042119,2
2012042120,0
2012042208,2
2012042315,3
2012042316,7
2012042317,2
2012042321,2
2012042323,2
2012042405,2
2012042407,2
2012042408,2
2012042409,2
2012042412,5
2012042413,7
2012042414,2
2012042415,3
2012042417,2
2012042500,2
2012042507,3
2012042508,2
2012042511,3
2012042512,2
2012042513,5
2012042514,2
2012042516,2
2012042606,2
2012042607,3
2012042608,5
2012042612,2
2012042613,2
2012042614,2
2012042615,2
2012042616,2
2012042617,2
2012042618,3
2012042619,2
2012042620,2
2012042706,2
2012042707,2
2012042711,2
2012042713,2
2012042715,2
2012042809,2
2012042819,2
2012042907,2
2012042909,2
2012042914,2
2012042917,2
2012042918,2
2012042923,2
2012043003,2
2012043007,3
2012043008,2
2012043009,2
2012043010,2
2012043012,5
2012043014,2
2012043016,2
2012043017,2
2012043020,2
2012043022,3
2012050107,2
2012050108,2
2012050109,5
2012050112,2
2012050114,2
2012050117,2
2012050119,2
2012050120,2
2012050121,2
2012050123,2
2012050207,2
2012050208,5
2012050209,0
2012050210,2
2012050217,2
2012050308,5
2012050310,2
2012050312,5
2012050314,2
2012050315,2
2012050316,3
2012050317,2
2012050318,2
2012050321,2
2012050407,3
2012050409,2
2012050410,2
2012050411,3
2012050413,3
2012050415,2
2012050416,0
2012050417,2
2012050420,2
2012050510,2
2012050603,2
2012050608,2
2012050618,3
2012050621,2
2012050623,2
2012050707,2
2012050708,2
2012050709,2
2012050710,2
2012050711,3
2012050713,2
2012050715,2
2012050716,0
2012050722,3
2012050800,2
2012050804,2
2012050808,5
2012050809,0
2012050810,2
2012050815,7
2012050818,2
2012050819,2
2012050821,2
2012050906,2
2012050907,5
2012050908,3
2012050909,0
2012050911,2
2012050912,2
2012050914,2
2012050915,2
2012050916,2
2012050917,0
2012051007,2
2012051008,2
2012051009,5
2012051010,0
2012051011,2
2012051012,2
2012051013,0
2012051014,2
2012051016,2
2012051017,2
2012051021,3
2012051022,2
2012051107,2
2012051110,3
2012051111,0
2012051113,2
2012051115,2
2012051118,2
2012051121,2
2012051122,2
2012051201,2
2012051208,2
2012051313,2
2012051315,3
2012051317,2
2012051318,2
2012051320,2
2012051321,3
2012051407,3
2012051408,3
2012051409,2
2012051410,5
2012051411,3
2012051414,2
2012051415,2
2012051417,3
2012051420,2
2012051421,3
2012051422,2
2012051507,2
2012051508,2
2012051509,5
2012051513,2
2012051514,9
2012051515,5
2012051516,0
2012051521,2
2012051608,3
2012051609,2
2012051611,3
2012051612,3
2012051613,3
2012051615,2
2012051618,2
2012051619,2
2012051620,2
2012051621,2
2012051622,2
2012051708,5
2012051709,2
2012051710,3
2012051711,3
2012051712,2
2012051713,2
2012051718,3
2012051804,3
2012051807,2
2012051808,2
2012051809,2
2012051811,0
2012051813,2
2012051814,2
2012051817,2
2012051819,2
2012051901,2
2012051906,2
2012051914,2
2012051916,2
2012051920,2
2012052007,2
2012052010,2
2012052016,2
2012052017,2
2012052018,5
2012052020,2
2012052023,2
2012052107,3
2012052108,2
2012052109,2
2012052110,5
2012052111,5
2012052112,3
2012052114,2
2012052115,2
2012052117,2
2012052207,3
2012052208,3
2012052209,5
2012052210,7
2012052211,9
2012052212,2
2012052213,3
2012052214,2
2012052217,0
2012052219,2
2012052220,2
2012052223,2
2012052307,2
2012052308,3
2012052309,2
2012052310,3
2012052311,2
2012052312,5
2012052314,2
2012052315,3
2012052316,5
2012052318,2
2012052319,2
2012052320,2
2012052323,2
2012052407,7
2012052408,2
2012052410,3
2012052412,2
2012052413,2
2012052414,0
2012052421,2
2012052422,2
2012052423,2
2012052502,2
2012052507,7
2012052508,3
2012052509,3
2012052510,5
2012052512,3
2012052513,3
2012052516,3
2012052517,2
2012052519,2
2012052521,2
2012052606,3
2012052615,2
2012052617,3
2012052619,2
2012052621,5
2012052623,2
2012052707,2
2012052710,2
2012052713,2
2012052716,2
2012052720,2
2012052721,2
2012052808,2
2012052809,2
2012052811,2
2012052814,2
2012052815,2
2012052818,3
2012052820,2
2012052821,3
2012052907,2
2012052908,5
2012052909,2
2012052910,3
2012052912,0
2012052913,2
2012052915,0
2012053007,2
2012053008,3
2012053009,3
2012053011,2
2012053014,3
2012053107,2
2012053109,3
2012053112,3
2012053116,2
2012060102,2
2012060109,2
2012060110,3
2012060117,2
2012060121,2
2012060211,2
2012060213,2
2012060221,2
2012060222,2
2012060310,2
2012060315,2
2012060407,2
2012060408,2
2012060409,2
2012060411,2
2012060413,7
2012060414,2
2012060415,2
2012060416,5
2012060417,2
2012060419,3
2012060421,3
2012060422,2
2012060507,2
2012060508,3
2012060509,3
2012060510,2
2012060512,3
2012060513,5
2012060514,2
2012060515,2
2012060518,2
2012060607,2
2012060608,3
2012060609,2
2012060612,2
2012060615,9
2012060616,2
2012060705,2
2012060707,2
2012060708,7
2012060709,2
2012060712,2
2012060714,2
2012060721,2
2012060806,2
2012060808,3
2012060809,2
2012060815,2
2012060816,2
2012060818,2
2012060820,2
2012060821,2
2012060906,2
2012060907,2
2012060909,2
2012060910,2
2012060919,2
2012061000,2
2012061008,2
2012061011,2
2012061013,3
2012061016,2
2012061019,2
2012061020,2
2012061022,2
2012061101,2
2012061108,5
2012061209,2
2012061210,2
2012061211,2
2012061213,3
2012061214,2
2012061215,2
2012061216,2
2012061219,2
2012061307,2
2012061308,3
2012061310,2
2012061311,2
2012061313,2
2012061314,5
2012061315,0
2012061316,5
2012061317,2
2012061407,2
2012061408,2
2012061409,0
2012061411,2
2012061413,3
2012061416,2
2012061420,3
2012061506,2
2012061507,2
2012061514,2
2012061522,2
2012061609,2
2012061610,2
2012061708,2
2012061711,2
2012061715,2
2012061716,2
2012061720,2
2012061722,2
2012061807,2
2012061808,3
2012061811,2
2012061812,2
2012061814,2
2012061816,3
2012061907,2
2012061908,3
2012061910,2
2012061912,2
2012061915,3
2012061921,2
2012061922,2
2012062007,3
2012062008,2
2012062012,3
2012062015,2
2012062016,2
2012062018,2
2012062022,2
2012062100,2
2012062107,2
2012062108,2
2012062110,3
2012062111,5
2012062112,2
2012062113,2
2012062114,2
2012062116,3
2012062117,2
2012062119,2
2012062207,3
2012062208,2
2012062209,5
2012062212,2
2012062214,3
2012062215,2
2012062219,2
2012062221,2
2012062311,2
2012062317,2
2012062321,2
2012062415,2
2012062420,2
2012062507,2
2012062508,5
2012062509,2
2012062510,7
2012062511,3
2012062512,5
2012062513,3
2012062514,2
2012062515,3
2012062516,2
2012062607,2
2012062609,5
2012062610,2
2012062612,2
2012062613,2
2012062616,2
2012062623,2
2012062700,2
2012062708,5
2012062709,3
2012062710,3
2012062711,2
2012062712,2
2012062714,3
2012062715,3
2012062800,2
2012062807,2
2012062808,3
2012062809,2
2012062810,2
2012062811,3
2012062812,3
2012062813,3
2012062814,2
2012062815,2
2012062818,2
2012062820,2
2012062908,2
2012062909,3
2012062910,2
2012062912,2
2012062915,2
2012062918,3
2012063007,2
2012063008,2
2012063012,2
2012063013,2
2012063023,2
2012070102,2
2012070108,2
2012070112,2
2012070113,2
2012070115,2
2012070122,2
2012070207,2
2012070208,3
2012070212,3
2012070213,0
2012070214,3
